Batsman_Name,Runs,Balls,4s,6s,Strike_Rate,battingStyle,playingRole,Batting_Order,Range
Dhananjaya de Silva,7,13,1,0,53.80,Right hand Bat,Allrounder,6,"5,6,7"
Chamika Karunaratne,2,11,0,0,18.20,Right hand Bat,Bowling Allrounder,8,"7,8,9"
Maheesh Theekshana,0,5,0,0,0.00,Right hand Bat,Bowler,9,"8,9,10"
Lahiru Kumara,4,8,1,0,50.00,Left hand Bat,Bowler,10,"9,10,11"
Mitchell Marsh,52,51,9,0,102.00,Right hand Bat,Allrounder,1,1
David Warner,11,6,0,1,183.30,Left hand Bat,Opening Batter,2,"1,2,3"
Steve Smith,0,5,0,0,0.00,Right hand Bat,Top order Batter,3,"2,3,4"
Marnus Labuschagne,40,60,2,0,66.70,Right hand Bat,Top order Batter,4,"3,4,5"
Josh Inglis,58,59,5,1,98.30,Right hand Bat,Wicketkeeper Batter,5,"4,5,6"
Glenn Maxwell,31,21,4,2,147.60,Right hand Bat,Batting Allrounder,6,"5,6,7"
Marcus Stoinis,20,10,2,1,200.00,Right hand Bat,Batting Allrounder,7,"6,7,8"
Vikramjit Singh,2,16,0,0,12.50,Left hand Bat,Opening Batter,1,1
Max O'Dowd,18,25,4,0,72.00,Right hand Bat,Opening Batter,2,"1,2,3"
Colin Ackermann,12,25,1,0,48.00,Right hand Bat,Batting Allrounder,3,"2,3,4"
Bas de Leede,2,7,0,0,28.60,Right hand Bat,Batting Allrounder,4,"3,4,5"
Logan van Beek,10,27,1,0,37.00,Right hand Bat,Bowler,8,"7,8,9"
Roelof van der Merwe,29,19,3,1,152.60,Right hand Bat,Allrounder,9,"8,9,10"
Temba Bavuma,16,31,2,1,51.60,Right hand Bat,Top order Batter,1,1
Quinton de Kock,20,22,3,0,90.90,Left hand Bat,Wicketkeeper Batter,2,"1,2,3"
Rassie van der Dussen,4,7,0,0,57.10,Right hand Bat,Top order Batter,3,"2,3,4"
Aiden Markram,1,3,0,0,33.30,Right hand Bat,Opening Batter,4,"3,4,5"
Heinrich Klaasen,28,28,4,0,100.00,Right hand Bat,Wicketkeeper Batter,5,"4,5,6"
David Miller,43,52,4,1,82.70,Left hand Bat,Middle order Batter,6,"5,6,7"
Marco Jansen,9,25,0,0,36.00,Left hand Bat,Allrounder,7,"6,7,8"
Gerald Coetzee,22,23,2,1,95.70,Right hand Bat,Bowler,8,"7,8,9"
Keshav Maharaj,40,37,5,1,108.10,Right hand Bat,Bowler,9,"8,9,10"
Kagiso Rabada,9,6,0,1,150.00,Left hand Bat,Bowler,10,"9,10,11"
Lungi Ngidi,7,24,0,0,29.20,Right hand Bat,Bowler,11,"10,11"
Devon Conway,20,18,3,0,111.10,Left hand Bat,Wicketkeeper Batter,1,1
Will Young,54,64,4,3,84.40,Right hand Bat,Top order Batter,2,"1,2,3"
Rachin Ravindra,32,41,2,1,78.00,Left hand Bat,Top order Batter,3,"2,3,4"
Daryl Mitchell,1,7,0,0,14.30,Right hand Bat,Allrounder,4,"3,4,5"
Tom Latham,68,74,3,2,91.90,Left hand Bat,Top order Batter,5,"4,5,6"
Glenn Phillips,71,80,4,4,88.80,Right hand Bat,Wicketkeeper Batter,6,"5,6,7"
Mark Chapman,25,12,2,1,208.30,Left hand Bat,Middle order Batter,7,"6,7,8"
Mitchell Santner,7,5,1,0,140.00,Left hand Bat,Bowling Allrounder,8,"7,8,9"
Rahmanullah Gurbaz,11,21,0,1,52.40,Right hand Bat,Wicketkeeper Batter,1,1
Ibrahim Zadran,14,15,2,0,93.30,Right hand Bat,Opening Batter,2,"1,2,3"
Rahmat Shah,36,62,1,0,58.10,Right hand Bat,Top order Batter,3,"2,3,4"
Hashmatullah Shahidi,8,29,1,0,27.60,Left hand Bat,Top order Batter,4,"3,4,5"
Azmatullah Omarzai,27,32,2,0,84.40,Right hand Bat,Allrounder,5,"4,5,6"
Ikram Alikhil,19,21,3,0,90.50,Left hand Bat,Wicketkeeper Batter,6,"5,6,7"
Mohammad Nabi,7,9,1,0,77.80,Right hand Bat,Allrounder,7,"6,7,8"
Rashid Khan,8,13,0,1,61.50,Right hand Bat,Bowling Allrounder,8,"7,8,9"
Mujeeb Ur Rahman,4,3,1,0,133.30,Right hand Bat,Bowler,9,"8,9,10"
Naveen-ul-Haq,0,1,0,0,0.00,Right hand Bat,Bowler,10,"9,10,11"
Fazalhaq Farooqi,0,2,0,0,0.00,Right hand Bat,Bowler,11,"10,11"
Tanzid Hasan,51,43,5,3,118.60,Left hand Bat,Top order Batter,1,1
Litton Das,66,82,7,0,80.50,Right hand Bat,Wicketkeeper Batter,2,"1,2,3"
Najmul Hossain Shanto,8,17,0,0,47.10,Left hand Bat,Top order Batter,3,"2,3,4"
Mehidy Hasan Miraz,3,13,0,0,23.10,Right hand Bat,Allrounder,4,"3,4,5"
Towhid Hridoy,16,35,0,0,45.70,Right hand Bat,Middle order Batter,5,"4,5,6"
Mushfiqur Rahim,38,46,1,1,82.60,Right hand Bat,Middle order Batter,6,"5,6,7"
Mahmudullah,46,36,3,3,127.80,Right hand Bat,Middle order Batter,7,"6,7,8"
Nasum Ahmed,14,18,2,0,77.80,Left hand Bat,Bowler,8,"7,8,9"
Mustafizur Rahman,1,7,0,0,14.30,Left hand Bat,Bowler,9,"8,9,10"
Shoriful Islam,7,3,0,1,233.30,Left hand Bat,Bowler,10,"9,10,11"
Rohit Sharma,48,40,7,2,120.00,Right hand Bat,Top order Batter,1,1
Shubman Gill,53,55,5,2,96.40,Right hand Bat,Top order Batter,2,"1,2,3"
Virat Kohli,103,97,6,4,106.20,Right hand Bat,Top order Batter,3,"2,3,4"
Shreyas Iyer,19,25,2,0,76.00,Right hand Bat,Top order Batter,4,"3,4,5"
KL Rahul,34,34,3,1,100.00,Right hand Bat,Opening Batter,5,"4,5,6"
David Warner,163,124,14,9,131.50,Left hand Bat,Opening Batter,1,1
Mitchell Marsh,121,108,10,9,112.00,Right hand Bat,Allrounder,2,"1,2,3"
Glenn Maxwell,0,1,0,0,0.00,Right hand Bat,Batting Allrounder,3,"2,3,4"
Steve Smith,7,9,0,0,77.80,Right hand Bat,Top order Batter,4,"3,4,5"
Marcus Stoinis,21,24,1,1,87.50,Right hand Bat,Batting Allrounder,5,"4,5,6"
Josh Inglis,13,9,3,0,144.40,Right hand Bat,Wicketkeeper Batter,6,"5,6,7"
Marnus Labuschagne,8,12,1,0,66.70,Right hand Bat,Top order Batter,7,"6,7,8"
Pat Cummins,6,8,0,0,75.00,Right hand Bat,Bowler,8,"7,8,9"
Mitchell Starc,2,3,0,0,66.70,Left hand Bat,Bowler,9,"8,9,10"
Josh Hazlewood,0,1,0,0,0.00,Left hand Bat,Bowler,10,"9,10,11"
Adam Zampa,1,1,0,0,100.00,Right hand Bat,Bowler,11,"10,11"
Abdullah Shafique,64,61,7,2,104.90,Right hand Bat,Top order Batter,1,1
Imam-ul-Haq,70,71,10,0,98.60,Left hand Bat,Top order Batter,2,"1,2,3"
Babar Azam,18,14,3,0,128.60,Right hand Bat,Top order Batter,3,"2,3,4"
Mohammad Rizwan,46,40,5,0,115.00,Right hand Bat,Wicketkeeper Batter,4,"3,4,5"
Saud Shakeel,30,31,5,0,96.80,Left hand Bat,Middle order Batter,5,"4,5,6"
Iftikhar Ahmed,26,20,0,3,130.00,Right hand Bat,Middle order Batter,6,"5,6,7"
Mohammad Nawaz,14,16,0,1,87.50,Left hand Bat,Allrounder,7,"6,7,8"
Usama Mir,0,3,0,0,0.00,Right hand Bat,Bowler,8,"7,8,9"
Shaheen Afridi,10,8,2,0,125.00,Left hand Bat,Bowler,9,"8,9,10"
Hasan Ali,8,8,2,0,100.00,Right hand Bat,Bowler,10,"9,10,11"
Haris Rauf,0,1,0,0,0.00,Right hand Bat,Bowler,11,"10,11"
Vikramjit Singh,4,13,1,0,30.80,Left hand Bat,Opening Batter,1,1
Max O'Dowd,16,27,1,1,59.30,Right hand Bat,Opening Batter,2,"1,2,3"
Colin Ackermann,29,31,5,0,93.50,Right hand Bat,Batting Allrounder,3,"2,3,4"
Bas de Leede,6,21,0,0,28.60,Right hand Bat,Batting Allrounder,4,"3,4,5"
Logan van Beek,59,75,1,1,78.70,Right hand Bat,Bowler,8,"7,8,9"
Roelof van der Merwe,7,7,0,0,100.00,Right hand Bat,Allrounder,9,"8,9,10"
Paul van Meekeren,4,5,0,0,80.00,Right hand Bat,Bowler,11,"10,11"
Pathum Nissanka,54,52,9,0,103.80,Right hand Bat,Top order Batter,1,1
Kusal Janith Perera,5,8,1,0,62.50,Left hand Bat,Top order Batter,2,"1,2,3"
Kusal Mendis,11,17,2,0,64.70,Right hand Bat,Wicketkeeper Batter,3,"2,3,4"
Sadeera Samarawickrama,91,107,7,0,85.00,Right hand Bat,Top order Batter,4,"3,4,5"
Charith Asalanka,44,66,2,1,66.70,Left hand Bat,Batting Allrounder,5,"4,5,6"
Dhananjaya de Silva,30,37,1,2,81.10,Right hand Bat,Allrounder,6,"5,6,7"
Quinton de Kock,4,2,1,0,200.00,Left hand Bat,Wicketkeeper Batter,1,1
Reeza Hendricks,85,75,9,3,113.30,Right hand Bat,Top order Batter,2,"1,2,3"
Rassie van der Dussen,60,61,8,0,98.40,Right hand Bat,Top order Batter,3,"2,3,4"
Aiden Markram,42,44,4,0,95.50,Right hand Bat,Opening Batter,4,"3,4,5"
Heinrich Klaasen,109,67,12,4,162.70,Right hand Bat,Wicketkeeper Batter,5,"4,5,6"
David Miller,5,6,1,0,83.30,Left hand Bat,Middle order Batter,6,"5,6,7"
Marco Jansen,75,42,3,6,178.60,Left hand Bat,Allrounder,7,"6,7,8"
Gerald Coetzee,3,3,0,0,100.00,Right hand Bat,Bowler,8,"7,8,9"
Keshav Maharaj,1,1,0,0,100.00,Right hand Bat,Bowler,9,"8,9,10"
Jonny Bairstow,10,12,1,1,83.30,Right hand Bat,Wicketkeeper Batter,1,1
Dawid Malan,6,11,1,0,54.50,Left hand Bat,Top order Batter,2,"1,2,3"
Joe Root,2,6,0,0,33.30,Right hand Bat,Top order Batter,3,"2,3,4"
Ben Stokes,5,8,1,0,62.50,Left hand Bat,Allrounder,4,"3,4,5"
Harry Brook,17,25,2,1,68.00,Right hand Bat,Batter,5,"4,5,6"
Jos Buttler,15,7,2,1,214.30,Right hand Bat,Wicketkeeper Batter,6,"5,6,7"
David Willey,12,12,1,1,100.00,Left hand Bat,Bowler,7,"6,7,8"
Adil Rashid,10,14,1,0,71.40,Right hand Bat,Bowler,8,"7,8,9"
Mark Wood,43,17,2,5,252.90,Right hand Bat,Bowler,10,"9,10,11"
Reece Topley,0,0,0,0,0.00,Left hand Bat,Bowler,11,"10,11"
Devon Conway,0,9,0,0,0.00,Left hand Bat,Wicketkeeper Batter,1,1
Will Young,17,27,3,0,63.00,Right hand Bat,Top order Batter,2,"1,2,3"
Rachin Ravindra,75,87,6,1,86.20,Left hand Bat,Top order Batter,3,"2,3,4"
Daryl Mitchell,130,127,9,5,102.40,Right hand Bat,Allrounder,4,"3,4,5"
Tom Latham,5,7,1,0,71.40,Left hand Bat,Top order Batter,5,"4,5,6"
Glenn Phillips,23,26,0,1,88.50,Right hand Bat,Wicketkeeper Batter,6,"5,6,7"
Mark Chapman,6,8,0,0,75.00,Left hand Bat,Middle order Batter,7,"6,7,8"
Mitchell Santner,1,2,0,0,50.00,Left hand Bat,Bowling Allrounder,8,"7,8,9"
Matt Henry,0,1,0,0,0.00,Right hand Bat,Bowler,9,"8,9,10"
Lockie Ferguson,1,5,0,0,20.00,Right hand Bat,Bowler,10,"9,10,11"
Trent Boult,0,1,0,0,0.00,Right hand Bat,Bowler,11,"10,11"
Rohit Sharma,46,40,4,4,115.00,Right hand Bat,Top order Batter,1,1
Shubman Gill,26,31,5,0,83.90,Right hand Bat,Top order Batter,2,"1,2,3"
Virat Kohli,95,104,8,2,91.30,Right hand Bat,Top order Batter,3,"2,3,4"
Shreyas Iyer,33,29,6,0,113.80,Right hand Bat,Top order Batter,4,"3,4,5"
KL Rahul,27,35,3,0,77.10,Right hand Bat,Opening Batter,5,"4,5,6"
Suryakumar Yadav,2,4,0,0,50.00,Right hand Bat,Batter,6,"5,6,7"
Ravindra Jadeja,39,44,3,1,88.60,Left hand Bat,Allrounder,7,"6,7,8"
Mohammed Shami,1,1,0,0,100.00,Right hand Bat,Bowler,8,"7,8,9"
Abdullah Shafique,58,75,5,2,77.30,Right hand Bat,Top order Batter,1,1
Imam-ul-Haq,17,22,2,0,77.30,Left hand Bat,Top order Batter,2,"1,2,3"
Babar Azam,74,92,4,1,80.40,Right hand Bat,Top order Batter,3,"2,3,4"
Mohammad Rizwan,8,10,0,1,80.00,Right hand Bat,Wicketkeeper Batter,4,"3,4,5"
Saud Shakeel,25,34,3,0,73.50,Left hand Bat,Middle order Batter,5,"4,5,6"
Shadab Khan,40,38,1,1,105.30,Right hand Bat,Allrounder,6,"5,6,7"
Iftikhar Ahmed,40,27,2,4,148.10,Right hand Bat,Middle order Batter,7,"6,7,8"
Shaheen Afridi,3,3,0,0,100.00,Left hand Bat,Bowler,8,"7,8,9"
Rahmanullah Gurbaz,65,53,9,1,122.60,Right hand Bat,Wicketkeeper Batter,1,1
Ibrahim Zadran,87,113,10,0,77.00,Right hand Bat,Opening Batter,2,"1,2,3"
Rahmat Shah,77,84,5,2,91.70,Right hand Bat,Top order Batter,3,"2,3,4"
Hashmatullah Shahidi,48,45,4,0,106.70,Left hand Bat,Top order Batter,4,"3,4,5"
Quinton de Kock,174,140,15,7,124.30,Left hand Bat,Wicketkeeper Batter,1,1
Reeza Hendricks,12,19,1,0,63.20,Right hand Bat,Top order Batter,2,"1,2,3"
Rassie van der Dussen,1,7,0,0,14.30,Right hand Bat,Top order Batter,3,"2,3,4"
Aiden Markram,60,69,7,0,87.00,Right hand Bat,Opening Batter,4,"3,4,5"
Heinrich Klaasen,90,49,2,8,183.70,Right hand Bat,Wicketkeeper Batter,5,"4,5,6"
David Miller,34,15,1,4,226.70,Left hand Bat,Middle order Batter,6,"5,6,7"
Marco Jansen,1,1,0,0,100.00,Left hand Bat,Allrounder,7,"6,7,8"
Tanzid Hasan,12,17,1,0,70.60,Left hand Bat,Top order Batter,1,1
Litton Das,22,44,3,1,50.00,Right hand Bat,Wicketkeeper Batter,2,"1,2,3"
Najmul Hossain Shanto,0,1,0,0,0.00,Left hand Bat,Top order Batter,3,"2,3,4"
Shakib Al Hasan,1,4,0,0,25.00,Left hand Bat,Allrounder,4,"3,4,5"
Mushfiqur Rahim,8,17,1,0,47.10,Right hand Bat,Middle order Batter,5,"4,5,6"
Mahmudullah,111,111,11,4,100.00,Right hand Bat,Middle order Batter,6,"5,6,7"
Mehidy Hasan Miraz,11,19,1,0,57.90,Right hand Bat,Allrounder,7,"6,7,8"
Nasum Ahmed,19,19,3,0,100.00,Left hand Bat,Bowler,8,"7,8,9"
Hasan Mahmud,15,25,2,0,60.00,Right hand Bat,Bowler,9,"8,9,10"
Mustafizur Rahman,11,21,2,0,52.40,Left hand Bat,Bowler,10,"9,10,11"
Shoriful Islam,6,4,1,0,150.00,Left hand Bat,Bowler,11,"10,11"
Mitchell Marsh,9,15,2,0,60.00,Right hand Bat,Allrounder,1,1
David Warner,104,93,11,3,111.80,Left hand Bat,Opening Batter,2,"1,2,3"
Steve Smith,71,68,9,1,104.40,Right hand Bat,Top order Batter,3,"2,3,4"
Marnus Labuschagne,62,47,7,2,131.90,Right hand Bat,Top order Batter,4,"3,4,5"
Josh Inglis,14,12,1,1,116.70,Right hand Bat,Wicketkeeper Batter,5,"4,5,6"
Glenn Maxwell,106,44,9,8,240.90,Right hand Bat,Batting Allrounder,6,"5,6,7"
Cameron Green,8,11,1,0,72.70,Right hand Bat,Batting Allrounder,7,"6,7,8"
Pat Cummins,12,9,2,0,133.30,Right hand Bat,Bowler,8,"7,8,9"
Mitchell Starc,0,1,0,0,0.00,Left hand Bat,Bowler,9,"8,9,10"
Adam Zampa,1,1,0,0,100.00,Right hand Bat,Bowler,10,"9,10,11"
Vikramjit Singh,25,25,6,0,100.00,Left hand Bat,Opening Batter,1,1
Max O'Dowd,6,9,1,0,66.70,Right hand Bat,Opening Batter,2,"1,2,3"
Colin Ackermann,10,11,2,0,90.90,Right hand Bat,Batting Allrounder,3,"2,3,4"
Bas de Leede,4,7,1,0,57.10,Right hand Bat,Batting Allrounder,5,"4,5,6"
Logan van Beek,0,3,0,0,0.00,Right hand Bat,Bowler,8,"7,8,9"
Roelof van der Merwe,0,1,0,0,0.00,Right hand Bat,Allrounder,9,"8,9,10"
Paul van Meekeren,0,1,0,0,0.00,Right hand Bat,Bowler,11,"10,11"
Jonny Bairstow,30,31,3,0,96.80,Right hand Bat,Wicketkeeper Batter,1,1
Dawid Malan,28,25,6,0,112.00,Left hand Bat,Top order Batter,2,"1,2,3"
Joe Root,3,10,0,0,30.00,Right hand Bat,Top order Batter,3,"2,3,4"
Ben Stokes,43,73,6,0,58.90,Left hand Bat,Allrounder,4,"3,4,5"
Jos Buttler,8,6,1,0,133.30,Right hand Bat,Wicketkeeper Batter,5,"4,5,6"
Liam Livingstone,1,6,0,0,16.70,Right hand Bat,Batting Allrounder,6,"5,6,7"
Moeen Ali,15,15,1,0,100.00,Left hand Bat,Batting Allrounder,7,"6,7,8"
Chris Woakes,0,4,0,0,0.00,Right hand Bat,Allrounder,8,"7,8,9"
David Willey,14,17,1,1,82.40,Left hand Bat,Bowler,9,"8,9,10"
Adil Rashid,2,7,0,0,28.60,Right hand Bat,Bowler,10,"9,10,11"
Mark Wood,5,6,1,0,83.30,Right hand Bat,Bowler,11,"10,11"
Pathum Nissanka,77,83,7,2,92.80,Right hand Bat,Top order Batter,1,1
Kusal Janith Perera,4,5,1,0,80.00,Left hand Bat,Top order Batter,2,"1,2,3"
Kusal Mendis,11,12,2,0,91.70,Right hand Bat,Wicketkeeper Batter,3,"2,3,4"
Sadeera Samarawickrama,65,54,7,1,120.40,Right hand Bat,Top order Batter,4,"3,4,5"
Abdullah Shafique,9,17,1,0,52.90,Right hand Bat,Top order Batter,1,1
Imam-ul-Haq,12,18,2,0,66.70,Left hand Bat,Top order Batter,2,"1,2,3"
Babar Azam,50,65,4,1,76.90,Right hand Bat,Top order Batter,3,"2,3,4"
Mohammad Rizwan,31,27,4,1,114.80,Right hand Bat,Wicketkeeper Batter,4,"3,4,5"
Iftikhar Ahmed,21,31,1,1,67.70,Right hand Bat,Middle order Batter,5,"4,5,6"
Saud Shakeel,52,52,7,0,100.00,Left hand Bat,Middle order Batter,6,"5,6,7"
Shadab Khan,43,36,3,2,119.40,Right hand Bat,Allrounder,7,"6,7,8"
Mohammad Nawaz,24,24,1,2,100.00,Left hand Bat,Allrounder,8,"7,8,9"
Shaheen Afridi,2,4,0,0,50.00,Left hand Bat,Bowler,9,"8,9,10"
Mohammad Wasim Jr,7,9,0,1,77.80,Right hand Bat,Bowler,10,"9,10,11"
Haris Rauf,0,1,0,0,0.00,Right hand Bat,Bowler,11,"10,11"
Temba Bavuma,28,27,4,1,103.70,Right hand Bat,Top order Batter,1,1
Quinton de Kock,24,14,5,0,171.40,Left hand Bat,Wicketkeeper Batter,2,"1,2,3"
Rassie van der Dussen,21,39,0,0,53.80,Right hand Bat,Top order Batter,3,"2,3,4"
Aiden Markram,91,93,7,3,97.80,Right hand Bat,Opening Batter,4,"3,4,5"
Heinrich Klaasen,12,10,0,1,120.00,Right hand Bat,Wicketkeeper Batter,5,"4,5,6"
David Miller,29,33,2,2,87.90,Left hand Bat,Middle order Batter,6,"5,6,7"
Marco Jansen,20,14,2,1,142.90,Left hand Bat,Allrounder,7,"6,7,8"
Gerald Coetzee,10,13,0,0,76.90,Right hand Bat,Bowler,8,"7,8,9"
Keshav Maharaj,7,21,1,0,33.30,Right hand Bat,Bowler,9,"8,9,10"
Lungi Ngidi,4,14,0,0,28.60,Right hand Bat,Bowler,10,"9,10,11"
Tabraiz Shamsi,4,6,0,0,66.70,Right hand Bat,Bowler,11,"10,11"
David Warner,81,65,5,6,124.60,Left hand Bat,Opening Batter,1,1
Travis Head,109,67,10,7,162.70,Left hand Bat,Middle order Batter,2,"1,2,3"
Mitchell Marsh,36,51,2,0,70.60,Right hand Bat,Allrounder,3,"2,3,4"
Steve Smith,18,17,2,0,105.90,Right hand Bat,Top order Batter,4,"3,4,5"
Marnus Labuschagne,18,26,2,0,69.20,Right hand Bat,Top order Batter,5,"4,5,6"
Glenn Maxwell,41,24,5,2,170.80,Right hand Bat,Batting Allrounder,6,"5,6,7"
Josh Inglis,38,28,4,1,135.70,Right hand Bat,Wicketkeeper Batter,7,"6,7,8"
Pat Cummins,37,14,2,4,264.30,Right hand Bat,Bowler,8,"7,8,9"
Mitchell Starc,1,3,0,0,33.30,Left hand Bat,Bowler,9,"8,9,10"
Adam Zampa,0,3,0,0,0.00,Right hand Bat,Bowler,10,"9,10,11"
Josh Hazlewood,0,0,0,0,0.00,Left hand Bat,Bowler,11,"10,11"
Devon Conway,28,17,6,0,164.70,Left hand Bat,Wicketkeeper Batter,1,1
Will Young,32,37,4,1,86.50,Right hand Bat,Top order Batter,2,"1,2,3"
Rachin Ravindra,116,89,9,5,130.30,Left hand Bat,Top order Batter,3,"2,3,4"
Daryl Mitchell,54,51,6,1,105.90,Right hand Bat,Allrounder,4,"3,4,5"
Tom Latham,21,22,2,0,95.50,Left hand Bat,Top order Batter,5,"4,5,6"
Glenn Phillips,12,16,1,0,75.00,Right hand Bat,Wicketkeeper Batter,6,"5,6,7"
Jimmy Neesham,58,39,3,3,148.70,Left hand Bat,Allrounder,7,"6,7,8"
Mitchell Santner,17,12,1,1,141.70,Left hand Bat,Bowling Allrounder,8,"7,8,9"
Matt Henry,9,8,1,0,112.50,Right hand Bat,Bowler,9,"8,9,10"
Trent Boult,10,8,0,1,125.00,Right hand Bat,Bowler,10,"9,10,11"
Lockie Ferguson,0,1,0,0,0.00,Right hand Bat,Bowler,11,"10,11"
Vikramjit Singh,3,9,0,0,33.30,Left hand Bat,Opening Batter,1,1
Max O'Dowd,0,3,0,0,0.00,Right hand Bat,Opening Batter,2,"1,2,3"
Colin Ackermann,15,33,1,0,45.50,Right hand Bat,Batting Allrounder,4,"3,4,5"
Bas de Leede,17,32,2,0,53.10,Right hand Bat,Batting Allrounder,6,"5,6,7"
Logan van Beek,23,16,2,1,143.80,Right hand Bat,Bowler,8,"7,8,9"
Shariz Ahmad,6,8,0,0,75.00,Left hand Bat,Bowler,9,"8,9,10"
Paul van Meekeren,0,2,0,0,0.00,Right hand Bat,Bowler,11,"10,11"
Litton Das,3,12,0,0,25.00,Right hand Bat,Wicketkeeper Batter,1,1
Tanzid Hasan,15,16,3,0,93.80,Left hand Bat,Top order Batter,2,"1,2,3"
Mehidy Hasan Miraz,35,40,5,1,87.50,Right hand Bat,Allrounder,3,"2,3,4"
Najmul Hossain Shanto,9,18,2,0,50.00,Left hand Bat,Top order Batter,4,"3,4,5"
Shakib Al Hasan,5,14,0,0,35.70,Left hand Bat,Allrounder,5,"4,5,6"
Mushfiqur Rahim,1,5,0,0,20.00,Right hand Bat,Middle order Batter,6,"5,6,7"
Mahmudullah,20,41,2,0,48.80,Right hand Bat,Middle order Batter,7,"6,7,8"
Mahedi Hasan,17,38,1,0,44.70,Right hand Bat,Allrounder,8,"7,8,9"
Taskin Ahmed,11,35,1,0,31.40,Left hand Bat,Bowler,9,"8,9,10"
Mustafizur Rahman,20,35,2,1,57.10,Left hand Bat,Bowler,10,"9,10,11"
Shoriful Islam,0,0,0,0,0.00,Left hand Bat,Bowler,11,"10,11"
Rohit Sharma,87,101,10,3,86.10,Right hand Bat,Top order Batter,1,1
Shubman Gill,9,13,1,0,69.20,Right hand Bat,Top order Batter,2,"1,2,3"
Virat Kohli,0,9,0,0,0.00,Right hand Bat,Top order Batter,3,"2,3,4"
Shreyas Iyer,4,16,0,0,25.00,Right hand Bat,Top order Batter,4,"3,4,5"
KL Rahul,39,58,3,0,67.20,Right hand Bat,Opening Batter,5,"4,5,6"
Suryakumar Yadav,49,47,4,1,104.30,Right hand Bat,Batter,6,"5,6,7"
Ravindra Jadeja,8,13,0,0,61.50,Left hand Bat,Allrounder,7,"6,7,8"
Mohammed Shami,1,5,0,0,20.00,Right hand Bat,Bowler,8,"7,8,9"
Jasprit Bumrah,16,25,1,0,64.00,Right hand Bat,Bowler,9,"8,9,10"
Kuldeep Yadav,9,13,1,0,69.20,Left hand Bat,Bowler,10,"9,10,11"
Jonny Bairstow,14,23,2,0,60.90,Right hand Bat,Wicketkeeper Batter,1,1
Dawid Malan,16,17,2,1,94.10,Left hand Bat,Top order Batter,2,"1,2,3"
Joe Root,0,1,0,0,0.00,Right hand Bat,Top order Batter,3,"2,3,4"
Ben Stokes,0,10,0,0,0.00,Left hand Bat,Allrounder,4,"3,4,5"
Jos Buttler,10,23,1,0,43.50,Right hand Bat,Wicketkeeper Batter,5,"4,5,6"
Moeen Ali,15,31,0,0,48.40,Left hand Bat,Batting Allrounder,6,"5,6,7"
Liam Livingstone,27,46,2,0,58.70,Right hand Bat,Batting Allrounder,7,"6,7,8"
Chris Woakes,10,20,1,0,50.00,Right hand Bat,Allrounder,8,"7,8,9"
David Willey,16,17,0,2,94.10,Left hand Bat,Bowler,9,"8,9,10"
Adil Rashid,13,20,2,0,65.00,Right hand Bat,Bowler,10,"9,10,11"
Mark Wood,0,0,0,0,0.00,Right hand Bat,Bowler,11,"10,11"
Pathum Nissanka,46,60,5,0,76.70,Right hand Bat,Top order Batter,1,1
Dimuth Karunaratne,15,21,1,0,71.40,Left hand Bat,Top order Batter,2,"1,2,3"
Kusal Mendis,39,50,3,0,78.00,Right hand Bat,Wicketkeeper Batter,3,"2,3,4"
Sadeera Samarawickrama,36,40,3,0,90.00,Right hand Bat,Top order Batter,4,"3,4,5"
Charith Asalanka,22,28,2,0,78.60,Left hand Bat,Batting Allrounder,5,"4,5,6"
Dhananjaya de Silva,14,26,1,0,53.80,Right hand Bat,Allrounder,6,"5,6,7"
Angelo Mathews,23,26,1,1,88.50,Right hand Bat,Allrounder,7,"6,7,8"
Dushmantha Chameera,1,4,0,0,25.00,Right hand Bat,Bowler,8,"7,8,9"
