Match_no,Match_Between,Bowling_Team,Bowler_Name,Overs,Maidens,Runs,Wickets,Economy
1,England vs New Zealand,New Zealand,Trent Boult,10.0,1,48,1,4.800
1,England vs New Zealand,New Zealand,Matt Henry,10.0,1,48,3,4.800
1,England vs New Zealand,New Zealand,Mitchell Santner,10.0,0,37,2,3.700
1,England vs New Zealand,New Zealand,Jimmy Neesham,7.0,0,56,0,8.000
1,England vs New Zealand,New Zealand,Rachin Ravindra,10.0,0,76,1,7.600
1,England vs New Zealand,New Zealand,Glenn Phillips,3.0,0,17,2,5.670
1,England vs New Zealand,England,Chris Woakes,6.0,0,45,0,7.500
1,England vs New Zealand,England,Sam Curran,6.0,2,47,1,7.833
1,England vs New Zealand,England,Mark Wood,5.0,0,55,0,11.000
1,England vs New Zealand,England,Moeen Ali,9.2,0,60,0,6.429
1,England vs New Zealand,England,Adil Rashid,7.0,0,47,0,6.714
1,England vs New Zealand,England,Liam Livingstone,3.0,0,24,0,8.000
2,Pakistan vs Netherlands,Netherlands,Aryan Dutt,10.0,0,48,1,4.800
2,Pakistan vs Netherlands,Netherlands,Logan van Beek,6.0,0,30,1,5.000
2,Pakistan vs Netherlands,Netherlands,Colin Ackermann,8.0,1,39,2,4.880
2,Pakistan vs Netherlands,Netherlands,Paul van Meekeren,6.0,0,40,1,6.670
2,Pakistan vs Netherlands,Netherlands,Bas de Leede,9.0,0,62,4,6.890
2,Pakistan vs Netherlands,Netherlands,Roelof van der Merwe,6.0,0,36,0,6.000
2,Pakistan vs Netherlands,Netherlands,Vikramjit Singh,2.0,0,16,0,8.000
2,Pakistan vs Netherlands,Netherlands,Saqib Zulfiqar,2.0,0,15,0,7.500
2,Pakistan vs Netherlands,Pakistan,Shaheen Afridi,7.0,0,37,1,5.286
2,Pakistan vs Netherlands,Pakistan,Hasan Ali,7.0,1,33,2,4.714
2,Pakistan vs Netherlands,Pakistan,Haris Rauf,9.0,0,43,3,4.778
2,Pakistan vs Netherlands,Pakistan,Iftikhar Ahmed,3.0,0,16,1,5.333
2,Pakistan vs Netherlands,Pakistan,Mohammad Nawaz,7.0,0,31,1,4.429
2,Pakistan vs Netherlands,Pakistan,Shadab Khan,8.0,0,45,1,5.625
3,Afghanistan vs Bangladesh,Bangladesh,Taskin Ahmed,6.0,0,32,1,5.330
3,Afghanistan vs Bangladesh,Bangladesh,Shoriful Islam,6.2,1,34,2,5.370
3,Afghanistan vs Bangladesh,Bangladesh,Mustafizur Rahman,7.0,1,28,1,4.000
3,Afghanistan vs Bangladesh,Bangladesh,Shakib Al Hasan,8.0,0,30,3,3.750
3,Afghanistan vs Bangladesh,Bangladesh,Mehidy Hasan Miraz,9.0,3,25,3,2.780
3,Afghanistan vs Bangladesh,Bangladesh,Mahmudullah,1.0,0,7,0,7.000
3,Afghanistan vs Bangladesh,Afghanistan,Fazalhaq Farooqi,5.0,0,19,1,3.800
3,Afghanistan vs Bangladesh,Afghanistan,Mujeeb Ur Rahman,7.0,0,30,0,4.286
3,Afghanistan vs Bangladesh,Afghanistan,Naveen-ul-Haq,5.4,0,31,1,5.471
3,Afghanistan vs Bangladesh,Afghanistan,Rashid Khan,9.0,0,48,0,5.333
3,Afghanistan vs Bangladesh,Afghanistan,Mohammad Nabi,6.0,1,18,0,3.000
3,Afghanistan vs Bangladesh,Afghanistan,Azmatullah Omarzai,2.0,0,9,1,4.500
4,South Africa vs Sri Lanka,Sri Lanka,Kasun Rajitha,10.0,1,90,1,9.000
4,South Africa vs Sri Lanka,Sri Lanka,Dilshan Madushanka,10.0,0,86,2,8.600
4,South Africa vs Sri Lanka,Sri Lanka,Dasun Shanaka,6.0,0,36,0,6.000
4,South Africa vs Sri Lanka,Sri Lanka,Dhananjaya de Silva,4.0,0,39,0,9.750
4,South Africa vs Sri Lanka,Sri Lanka,Matheesha Pathirana,10.0,0,95,1,9.500
4,South Africa vs Sri Lanka,Sri Lanka,Dunith Wellalage,10.0,0,81,1,8.100
4,South Africa vs Sri Lanka,South Africa,Lungi Ngidi,8.0,1,49,1,6.125
4,South Africa vs Sri Lanka,South Africa,Marco Jansen,10.0,0,92,2,9.200
4,South Africa vs Sri Lanka,South Africa,Kagiso Rabada,7.5,0,50,2,6.383
4,South Africa vs Sri Lanka,South Africa,Keshav Maharaj,10.0,0,62,2,6.200
4,South Africa vs Sri Lanka,South Africa,Gerald Coetzee,9.0,0,68,3,7.556
5,Australia vs India,India,Jasprit Bumrah,10.0,0,35,2,3.500
5,Australia vs India,India,Mohammed Siraj,6.3,1,26,1,4.000
5,Australia vs India,India,Hardik Pandya,3.0,0,28,1,9.330
5,Australia vs India,India,Ravichandran Ashwin,10.0,1,34,1,3.400
5,Australia vs India,India,Kuldeep Yadav,10.0,0,42,2,4.200
5,Australia vs India,India,Ravindra Jadeja,10.0,2,28,3,2.800
5,Australia vs India,Australia,Mitchell Starc,8.0,0,31,1,3.875
5,Australia vs India,Australia,Josh Hazlewood,9.0,1,38,3,4.222
5,Australia vs India,Australia,Pat Cummins,6.2,0,33,0,5.211
5,Australia vs India,Australia,Glenn Maxwell,8.0,0,33,0,4.125
5,Australia vs India,Australia,Cameron Green,2.0,0,11,0,5.500
5,Australia vs India,Australia,Adam Zampa,8.0,0,53,0,6.625
6,New Zealand vs Netherlands,Netherlands,Aryan Dutt,10.0,2,62,2,6.200
6,New Zealand vs Netherlands,Netherlands,Ryan Klein,7.0,1,41,0,5.860
6,New Zealand vs Netherlands,Netherlands,Paul van Meekeren,9.0,0,59,2,6.560
6,New Zealand vs Netherlands,Netherlands,Roelof van der Merwe,9.0,0,56,2,6.220
6,New Zealand vs Netherlands,Netherlands,Colin Ackermann,4.0,0,28,0,7.000
6,New Zealand vs Netherlands,Netherlands,Bas de Leede,10.0,0,64,1,6.400
6,New Zealand vs Netherlands,Netherlands,Vikramjit Singh,1.0,0,9,0,9.000
6,New Zealand vs Netherlands,New Zealand,Trent Boult,8.0,0,34,0,4.250
6,New Zealand vs Netherlands,New Zealand,Matt Henry,8.3,0,40,3,4.706
6,New Zealand vs Netherlands,New Zealand,Mitchell Santner,10.0,0,59,5,5.900
6,New Zealand vs Netherlands,New Zealand,Lockie Ferguson,8.0,0,32,0,4.000
6,New Zealand vs Netherlands,New Zealand,Rachin Ravindra,10.0,0,46,1,4.600
6,New Zealand vs Netherlands,New Zealand,Glenn Phillips,2.0,0,11,0,5.500
7,England vs Bangladesh,Bangladesh,Mustafizur Rahman,10.0,0,70,0,7.000
7,England vs Bangladesh,Bangladesh,Taskin Ahmed,6.0,0,38,1,6.333
7,England vs Bangladesh,Bangladesh,Shoriful Islam,10.0,0,75,3,7.500
7,England vs Bangladesh,Bangladesh,Mahedi Hasan,8.0,0,71,4,8.875
7,England vs Bangladesh,Bangladesh,Shakib Al Hasan,10.0,0,52,1,5.200
7,England vs Bangladesh,Bangladesh,Mehidy Hasan Miraz,6.0,0,55,0,9.167
7,England vs Bangladesh,England,Chris Woakes,8.0,0,49,2,6.125
7,England vs Bangladesh,England,Reece Topley,10.0,1,43,4,4.300
7,England vs Bangladesh,England,Sam Curran,7.2,0,47,1,6.409
7,England vs Bangladesh,England,Mark Wood,10.0,0,29,1,2.900
7,England vs Bangladesh,England,Adil Rashid,10.0,0,42,1,4.200
7,England vs Bangladesh,England,Liam Livingstone,3.0,0,13,1,4.333
8,Sri Lanka vs Pakistan,Pakistan,Shaheen Afridi,9.0,0,66,1,7.333
8,Sri Lanka vs Pakistan,Pakistan,Hasan Ali,10.0,0,71,4,7.100
8,Sri Lanka vs Pakistan,Pakistan,Mohammad Nawaz,9.0,0,62,1,6.889
8,Sri Lanka vs Pakistan,Pakistan,Haris Rauf,10.0,0,64,2,6.400
8,Sri Lanka vs Pakistan,Pakistan,Shadab Khan,8.0,0,55,1,6.875
8,Sri Lanka vs Pakistan,Pakistan,Iftikhar Ahmed,4.0,0,22,0,5.500
8,Sri Lanka vs Pakistan,Sri Lanka,Maheesh Theekshana,10.0,0,59,1,5.900
8,Sri Lanka vs Pakistan,Sri Lanka,Dilshan Madushanka,9.2,0,60,2,6.429
8,Sri Lanka vs Pakistan,Sri Lanka,Dasun Shanaka,5.0,0,28,0,5.600
8,Sri Lanka vs Pakistan,Sri Lanka,Matheesha Pathirana,9.0,0,90,1,10.000
8,Sri Lanka vs Pakistan,Sri Lanka,Dunith Wellalage,10.0,0,62,0,6.200
8,Sri Lanka vs Pakistan,Sri Lanka,Dhananjaya de Silva,4.0,0,36,0,9.000
8,Sri Lanka vs Pakistan,Sri Lanka,Charith Asalanka,1.0,0,10,0,10.000
9,Afghanistan vs India,India,Jasprit Bumrah,10.0,0,39,4,3.900
9,Afghanistan vs India,India,Mohammed Siraj,9.0,0,76,0,8.440
9,Afghanistan vs India,India,Hardik Pandya,7.0,0,43,2,6.140
9,Afghanistan vs India,India,Shardul Thakur,6.0,0,31,1,5.170
9,Afghanistan vs India,India,Kuldeep Yadav,10.0,0,40,1,4.000
9,Afghanistan vs India,India,Ravindra Jadeja,8.0,0,38,0,4.750
9,Afghanistan vs India,Afghanistan,Fazalhaq Farooqi,6.0,0,50,0,8.333
9,Afghanistan vs India,Afghanistan,Mujeeb Ur Rahman,8.0,0,64,0,8.000
9,Afghanistan vs India,Afghanistan,Naveen-ul-Haq,5.0,0,31,0,6.200
9,Afghanistan vs India,Afghanistan,Azmatullah Omarzai,4.0,0,34,0,8.500
9,Afghanistan vs India,Afghanistan,Mohammad Nabi,4.0,0,32,0,8.000
9,Afghanistan vs India,Afghanistan,Rashid Khan,8.0,0,57,2,7.125
10,South Africa vs Australia,Australia,Mitchell Starc,9.0,1,53,2,5.889
10,South Africa vs Australia,Australia,Josh Hazlewood,9.0,0,60,1,6.667
10,South Africa vs Australia,Australia,Glenn Maxwell,10.0,1,34,2,3.400
10,South Africa vs Australia,Australia,Pat Cummins,9.0,0,71,1,7.889
10,South Africa vs Australia,Australia,Adam Zampa,10.0,0,70,1,7.000
10,South Africa vs Australia,Australia,Mitchell Marsh,1.0,0,6,0,6.000
10,South Africa vs Australia,Australia,Marcus Stoinis,2.0,0,11,0,5.500
10,South Africa vs Australia,South Africa,Lungi Ngidi,8.0,2,18,1,2.250
10,South Africa vs Australia,South Africa,Marco Jansen,7.0,0,54,2,7.714
10,South Africa vs Australia,South Africa,Kagiso Rabada,8.0,1,33,3,4.125
10,South Africa vs Australia,South Africa,Keshav Maharaj,10.0,0,30,2,3.000
10,South Africa vs Australia,South Africa,Tabraiz Shamsi,7.5,0,38,2,4.851
11,Bangladesh vs New Zealand,New Zealand,Trent Boult,10.0,0,45,2,4.500
11,Bangladesh vs New Zealand,New Zealand,Matt Henry,10.0,0,58,2,5.800
11,Bangladesh vs New Zealand,New Zealand,Lockie Ferguson,10.0,0,49,3,4.900
11,Bangladesh vs New Zealand,New Zealand,Mitchell Santner,10.0,1,31,1,3.100
11,Bangladesh vs New Zealand,New Zealand,Glenn Phillips,2.0,0,13,1,6.500
11,Bangladesh vs New Zealand,New Zealand,Rachin Ravindra,7.0,0,37,0,5.286
11,Bangladesh vs New Zealand,New Zealand,Daryl Mitchell,1.0,0,11,0,11.000
11,Bangladesh vs New Zealand,Bangladesh,Mustafizur Rahman,8.0,0,36,1,4.500
11,Bangladesh vs New Zealand,Bangladesh,Shoriful Islam,7.5,1,43,0,5.489
11,Bangladesh vs New Zealand,Bangladesh,Taskin Ahmed,8.0,0,56,0,7.000
11,Bangladesh vs New Zealand,Bangladesh,Shakib Al Hasan,10.0,0,54,1,5.400
11,Bangladesh vs New Zealand,Bangladesh,Mehidy Hasan Miraz,9.0,0,58,0,6.444
12,Pakistan vs India,India,Jasprit Bumrah,7.0,1,19,2,2.710
12,Pakistan vs India,India,Mohammed Siraj,8.0,0,50,2,6.250
12,Pakistan vs India,India,Hardik Pandya,6.0,0,34,2,5.670
12,Pakistan vs India,India,Kuldeep Yadav,10.0,0,35,2,3.500
12,Pakistan vs India,India,Ravindra Jadeja,9.5,0,38,2,3.860
12,Pakistan vs India,India,Shardul Thakur,2.0,0,12,0,6.000
12,Pakistan vs India,Pakistan,Shaheen Afridi,6.0,0,36,2,6.000
12,Pakistan vs India,Pakistan,Hasan Ali,6.0,0,34,1,5.667
12,Pakistan vs India,Pakistan,Mohammad Nawaz,8.3,0,47,0,5.529
12,Pakistan vs India,Pakistan,Haris Rauf,6.0,0,43,0,7.167
12,Pakistan vs India,Pakistan,Shadab Khan,4.0,0,31,0,7.750
13,Afghanistan vs England,England,Chris Woakes,4.0,0,41,0,10.250
13,Afghanistan vs England,England,Reece Topley,8.5,1,52,1,5.887
13,Afghanistan vs England,England,Sam Curran,4.0,0,46,0,11.500
13,Afghanistan vs England,England,Adil Rashid,10.0,1,42,3,4.200
13,Afghanistan vs England,England,Mark Wood,9.0,0,50,2,5.556
13,Afghanistan vs England,England,Liam Livingstone,10.0,0,33,1,3.300
13,Afghanistan vs England,England,Joe Root,4.0,0,19,1,4.750
13,Afghanistan vs England,Afghanistan,Mujeeb Ur Rahman,10.0,1,51,3,5.100
13,Afghanistan vs England,Afghanistan,Fazalhaq Farooqi,7.0,0,50,1,7.143
13,Afghanistan vs England,Afghanistan,Naveen-ul-Haq,6.0,1,44,1,7.333
13,Afghanistan vs England,Afghanistan,Mohammad Nabi,6.0,0,16,2,2.667
13,Afghanistan vs England,Afghanistan,Rashid Khan,9.3,1,37,3,3.895
13,Afghanistan vs England,Afghanistan,Azmatullah Omarzai,2.0,0,13,0,6.500
14,Sri Lanka vs Australia,Australia,Mitchell Starc,10.0,0,43,2,4.300
14,Sri Lanka vs Australia,Australia,Josh Hazlewood,7.0,1,36,0,5.143
14,Sri Lanka vs Australia,Australia,Pat Cummins,7.0,0,32,2,4.571
14,Sri Lanka vs Australia,Australia,Glenn Maxwell,9.3,0,36,1,3.789
14,Sri Lanka vs Australia,Australia,Adam Zampa,8.0,1,47,4,5.875
14,Sri Lanka vs Australia,Australia,Marcus Stoinis,2.0,0,11,0,5.500
14,Sri Lanka vs Australia,Sri Lanka,Lahiru Kumara,4.0,0,47,0,11.750
14,Sri Lanka vs Australia,Sri Lanka,Dilshan Madushanka,9.0,2,38,3,4.222
14,Sri Lanka vs Australia,Sri Lanka,Maheesh Theekshana,7.0,0,49,0,7.000
14,Sri Lanka vs Australia,Sri Lanka,Dunith Wellalage,9.2,0,53,1,5.679
14,Sri Lanka vs Australia,Sri Lanka,Chamika Karunaratne,3.0,0,15,0,5.000
14,Sri Lanka vs Australia,Sri Lanka,Dhananjaya de Silva,3.0,0,13,0,4.333
15,Netherlands vs South Africa,South Africa,Lungi Ngidi,9.0,1,57,2,6.333
15,Netherlands vs South Africa,South Africa,Marco Jansen,8.0,1,27,2,3.375
15,Netherlands vs South Africa,South Africa,Kagiso Rabada,9.0,1,56,2,6.222
15,Netherlands vs South Africa,South Africa,Gerald Coetzee,8.0,0,57,1,7.125
15,Netherlands vs South Africa,South Africa,Keshav Maharaj,9.0,0,38,1,4.222
15,Netherlands vs South Africa,Netherlands,Aryan Dutt,5.0,1,19,0,3.800
15,Netherlands vs South Africa,Netherlands,Logan van Beek,8.5,0,60,3,6.792
15,Netherlands vs South Africa,Netherlands,Colin Ackermann,3.0,0,16,1,5.333
15,Netherlands vs South Africa,Netherlands,Paul van Meekeren,9.0,0,40,2,4.444
15,Netherlands vs South Africa,Netherlands,Roelof van der Merwe,9.0,0,34,2,3.778
15,Netherlands vs South Africa,Netherlands,Bas de Leede,8.0,0,36,2,4.500
16,New Zealand vs Afghanistan,Afghanistan,Mujeeb Ur Rahman,10.0,0,57,1,5.700
16,New Zealand vs Afghanistan,Afghanistan,Fazalhaq Farooqi,7.0,1,39,0,5.571
16,New Zealand vs Afghanistan,Afghanistan,Naveen-ul-Haq,8.0,0,48,2,6.000
16,New Zealand vs Afghanistan,Afghanistan,Mohammad Nabi,8.0,1,41,0,5.125
16,New Zealand vs Afghanistan,Afghanistan,Rashid Khan,10.0,0,43,1,4.300
16,New Zealand vs Afghanistan,Afghanistan,Azmatullah Omarzai,7.0,0,56,2,8.000
16,New Zealand vs Afghanistan,New Zealand,Trent Boult,7.0,1,18,2,2.571
16,New Zealand vs Afghanistan,New Zealand,Matt Henry,5.0,2,16,1,3.200
16,New Zealand vs Afghanistan,New Zealand,Mitchell Santner,7.4,0,39,3,5.087
16,New Zealand vs Afghanistan,New Zealand,Lockie Ferguson,7.0,1,19,3,2.714
16,New Zealand vs Afghanistan,New Zealand,Glenn Phillips,3.0,0,13,0,4.333
16,New Zealand vs Afghanistan,New Zealand,Rachin Ravindra,5.0,0,34,1,6.800
17,Bangladesh vs India,India,Jasprit Bumrah,10.0,1,41,2,4.100
17,Bangladesh vs India,India,Mohammed Siraj,10.0,0,60,2,6.000
17,Bangladesh vs India,India,Hardik Pandya,0.3,0,8,0,16.000
17,Bangladesh vs India,India,Virat Kohli,0.3,0,2,0,4.000
17,Bangladesh vs India,India,Shardul Thakur,9.0,0,59,1,6.556
17,Bangladesh vs India,India,Kuldeep Yadav,10.0,0,47,1,4.700
17,Bangladesh vs India,India,Ravindra Jadeja,10.0,0,38,2,3.800
17,Bangladesh vs India,Bangladesh,Shoriful Islam,8.0,0,54,0,6.750
17,Bangladesh vs India,Bangladesh,Mustafizur Rahman,5.0,0,29,0,5.800
17,Bangladesh vs India,Bangladesh,Nasum Ahmed,9.3,0,60,0,6.316
17,Bangladesh vs India,Bangladesh,Hasan Mahmud,8.0,0,65,1,8.125
17,Bangladesh vs India,Bangladesh,Mehidy Hasan Miraz,10.0,0,47,2,4.700
17,Bangladesh vs India,Bangladesh,Mahmudullah,1.0,0,6,0,6.000
18,Australia vs Pakistan,Pakistan,Shaheen Afridi,10.0,1,54,5,5.400
18,Australia vs Pakistan,Pakistan,Hasan Ali,8.0,0,57,0,7.125
18,Australia vs Pakistan,Pakistan,Iftikhar Ahmed,8.0,0,37,0,4.625
18,Australia vs Pakistan,Pakistan,Haris Rauf,8.0,0,83,3,10.375
18,Australia vs Pakistan,Pakistan,Usama Mir,9.0,0,82,1,9.111
18,Australia vs Pakistan,Pakistan,Mohammad Nawaz,7.0,0,43,0,6.143
18,Australia vs Pakistan,Australia,Mitchell Starc,8.0,0,65,1,8.125
18,Australia vs Pakistan,Australia,Josh Hazlewood,10.0,1,37,1,3.700
18,Australia vs Pakistan,Australia,Pat Cummins,7.3,0,62,2,8.267
18,Australia vs Pakistan,Australia,Adam Zampa,10.0,0,53,4,5.300
18,Australia vs Pakistan,Australia,Glenn Maxwell,5.0,0,40,0,8.000
18,Australia vs Pakistan,Australia,Marcus Stoinis,5.0,0,40,2,8.000
19,Netherlands vs Sri Lanka,Sri Lanka,Dilshan Madushanka,9.4,1,49,4,5.069
19,Netherlands vs Sri Lanka,Sri Lanka,Kasun Rajitha,9.0,0,50,4,5.556
19,Netherlands vs Sri Lanka,Sri Lanka,Chamika Karunaratne,9.0,1,58,0,6.444
19,Netherlands vs Sri Lanka,Sri Lanka,Maheesh Theekshana,10.0,0,44,1,4.400
19,Netherlands vs Sri Lanka,Sri Lanka,Dushan Hemantha,8.0,0,42,0,5.250
19,Netherlands vs Sri Lanka,Sri Lanka,Dhananjaya de Silva,4.0,0,13,0,3.250
19,Netherlands vs Sri Lanka,Netherlands,Aryan Dutt,10.0,0,44,3,4.400
19,Netherlands vs Sri Lanka,Netherlands,Logan van Beek,10.0,0,57,0,5.700
19,Netherlands vs Sri Lanka,Netherlands,Paul van Meekeren,8.0,1,39,1,4.875
19,Netherlands vs Sri Lanka,Netherlands,Bas de Leede,3.0,0,29,0,9.667
19,Netherlands vs Sri Lanka,Netherlands,Roelof van der Merwe,9.0,0,42,0,4.667
19,Netherlands vs Sri Lanka,Netherlands,Colin Ackermann,8.2,0,39,1,4.680
20,South Africa vs England,England,Reece Topley,8.5,0,88,3,9.962
20,South Africa vs England,England,David Willey,9.0,1,61,0,6.778
20,South Africa vs England,England,Joe Root,6.1,0,48,0,7.784
20,South Africa vs England,England,Gus Atkinson,9.0,0,60,2,6.667
20,South Africa vs England,England,Mark Wood,7.0,0,76,0,10.857
20,South Africa vs England,England,Adil Rashid,10.0,0,61,2,6.100
20,South Africa vs England,South Africa,Lungi Ngidi,5.0,1,26,2,5.200
20,South Africa vs England,South Africa,Marco Jansen,5.0,0,35,2,7.000
20,South Africa vs England,South Africa,Kagiso Rabada,6.0,1,38,1,6.333
20,South Africa vs England,South Africa,Gerald Coetzee,4.0,0,35,3,8.750
20,South Africa vs England,South Africa,Keshav Maharaj,2.0,0,27,1,13.500
21,New Zealand vs India,India,Jasprit Bumrah,10.0,1,45,1,4.500
21,New Zealand vs India,India,Mohammed Siraj,10.0,1,45,1,4.500
21,New Zealand vs India,India,Mohammed Shami,10.0,0,54,5,5.400
21,New Zealand vs India,India,Ravindra Jadeja,10.0,0,48,0,4.800
21,New Zealand vs India,India,Kuldeep Yadav,10.0,0,73,2,7.300
21,New Zealand vs India,New Zealand,Trent Boult,10.0,0,60,1,6.000
21,New Zealand vs India,New Zealand,Matt Henry,9.0,0,55,1,6.111
21,New Zealand vs India,New Zealand,Mitchell Santner,10.0,0,37,1,3.700
21,New Zealand vs India,New Zealand,Lockie Ferguson,8.0,0,63,2,7.875
21,New Zealand vs India,New Zealand,Rachin Ravindra,9.0,0,46,0,5.111
21,New Zealand vs India,New Zealand,Glenn Phillips,2.0,0,12,0,6.000
22,Pakistan vs Afghanistan,Afghanistan,Naveen-ul-Haq,7.0,0,52,2,7.429
22,Pakistan vs Afghanistan,Afghanistan,Mujeeb Ur Rahman,8.0,0,55,0,6.875
22,Pakistan vs Afghanistan,Afghanistan,Mohammad Nabi,10.0,0,31,1,3.100
22,Pakistan vs Afghanistan,Afghanistan,Azmatullah Omarzai,5.0,0,50,1,10.000
22,Pakistan vs Afghanistan,Afghanistan,Rashid Khan,10.0,0,41,0,4.100
22,Pakistan vs Afghanistan,Afghanistan,Noor Ahmad,10.0,0,49,3,4.900
22,Pakistan vs Afghanistan,Pakistan,Shaheen Afridi,10.0,0,58,1,5.800
22,Pakistan vs Afghanistan,Pakistan,Hasan Ali,10.0,1,44,1,4.400
22,Pakistan vs Afghanistan,Pakistan,Haris Rauf,8.0,1,53,0,6.625
22,Pakistan vs Afghanistan,Pakistan,Usama Mir,8.0,0,55,0,6.875
22,Pakistan vs Afghanistan,Pakistan,Shadab Khan,8.0,0,49,0,6.125
22,Pakistan vs Afghanistan,Pakistan,Iftikhar Ahmed,5.0,0,27,0,5.400
23,South Africa vs Bangladesh,Bangladesh,Mustafizur Rahman,9.0,0,76,0,8.444
23,South Africa vs Bangladesh,Bangladesh,Mehidy Hasan Miraz,9.0,0,44,1,4.889
23,South Africa vs Bangladesh,Bangladesh,Shoriful Islam,9.0,0,76,1,8.444
23,South Africa vs Bangladesh,Bangladesh,Shakib Al Hasan,9.0,0,69,1,7.667
23,South Africa vs Bangladesh,Bangladesh,Hasan Mahmud,6.0,0,67,2,11.167
23,South Africa vs Bangladesh,Bangladesh,Nasum Ahmed,5.0,0,27,0,5.400
23,South Africa vs Bangladesh,Bangladesh,Mahmudullah,3.0,0,20,0,6.667
23,South Africa vs Bangladesh,South Africa,Marco Jansen,8.0,0,39,2,4.875
23,South Africa vs Bangladesh,South Africa,Lizaad Williams,8.4,1,56,2,6.462
23,South Africa vs Bangladesh,South Africa,Gerald Coetzee,10.0,0,62,3,6.200
23,South Africa vs Bangladesh,South Africa,Kagiso Rabada,10.0,1,42,2,4.200
23,South Africa vs Bangladesh,South Africa,Keshav Maharaj,10.0,0,32,1,3.200
24,Australia vs Netherlands,Netherlands,Aryan Dutt,7.0,0,59,1,8.429
24,Australia vs Netherlands,Netherlands,Colin Ackermann,4.0,0,19,0,4.750
24,Australia vs Netherlands,Netherlands,Logan van Beek,10.0,0,74,4,7.400
24,Australia vs Netherlands,Netherlands,Paul van Meekeren,10.0,0,64,0,6.400
24,Australia vs Netherlands,Netherlands,Vikramjit Singh,4.0,0,27,0,6.750
24,Australia vs Netherlands,Netherlands,Roelof van der Merwe,5.0,0,41,0,8.200
24,Australia vs Netherlands,Netherlands,Bas de Leede,10.0,0,115,2,11.500
24,Australia vs Netherlands,Australia,Mitchell Starc,4.0,0,22,1,5.500
24,Australia vs Netherlands,Australia,Josh Hazlewood,6.0,0,27,1,4.500
